title;price;location;link
Sprzedam Mieszkanie;195000;Siedlce;https://www.olx.pl/d/oferta/sprzedam-mieszkanie-CID3-IDMpsN6.html#4e1f4dc07b
Fort Wola 54m+balkon 6m Stan deweloperski 2 pietro;749999;Warszawa;https://www.olx.pl/d/oferta/fort-wola-54m-balkon-6m-stan-deweloperski-2-pietro-CID3-IDMoDuf.html#4e1f4dc07b
Sprzedam mieszkanie 60 m Ustronie ul. Osiedlowa;379000;Radom;https://www.olx.pl/d/oferta/sprzedam-mieszkanie-60-m-ustronie-ul-osiedlowa-CID3-IDMomKA.html#4e1f4dc07b
Mieszkanie bezczynszowe dwa poziomy 112,46m2 m.postojowe;540000;Marki;https://www.olx.pl/d/oferta/mieszkanie-bezczynszowe-dwa-poziomy-112-46m2-m-postojowe-CID3-IDMmw7J.html#4e1f4dc07b
2-pokojowe mieszkanie 49m przy Kepie Potockiej z komorka lokatorska;649000;Warszawa;https://www.olx.pl/d/oferta/2-pokojowe-mieszkanie-49m-przy-kepie-potockiej-z-komorka-lokatorska-CID3-IDK7dl9.html#4e1f4dc07b
Kawalerka 24mkw Mokotow;390000;Warszawa;https://www.otodom.pl/pl/oferta/kawalerka-24mkw-mokotow-ID4e7OM.html?
Przytulne mieszkanie dwupokojowe w centrum Kozienic;295000;Kozienice;https://www.olx.pl/d/oferta/przytulne-mieszkanie-dwupokojowe-w-centrum-kozienic-CID3-IDLVZH7.html#4e1f4dc07b
Mieszkanie 54m 3 pokoje/ klima/ urzadzone/ centrum;479000;Pruszkow;https://www.olx.pl/d/oferta/mieszkanie-54m-3-pokoje-klima-urzadzone-centrum-CID3-IDHkSKy.html#4e1f4dc07b
Mieszkanie 2-pokojowe 44m2 + MP na Tarchominie;495000;Warszawa;https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-44m2-mp-na-tarchominie-CID3-IDMk9Wo.html#4e1f4dc07b
Mieszkanie Marki 69m2, garaz;650000;Marki;https://www.olx.pl/d/oferta/mieszkanie-marki-69m2-garaz-CID3-IDI8Nmu.html#4e1f4dc07b
OKAZJA! Po remoncie blisko METRA 2 pokojowe;405000;Warszawa;https://www.otodom.pl/pl/oferta/okazja-po-remoncie-blisko-metra-2-pokojowe-ID4dWT8.html?
Mieszkanie 50 m2 na Warszawskim Gocławiu (Praga Południe);520000;Warszawa;https://www.olx.pl/d/oferta/mieszkanie-50-m2-na-warszawskim-goclawiu-praga-poludnie-CID3-IDMqTBI.html#4e1f4dc07b
Mieszkanie 3 pokojowe po remoncie, Pruszkow, ul. Wojska Polskiego 28;430000;Pruszkow;https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-po-remoncie-pruszkow-ul-wojska-polskiego-28-CID3-IDMk9m0.html#4e1f4dc07b
115 m2 na starej, bliskiej Pradze;1500000;Warszawa;https://www.otodom.pl/pl/oferta/115-m2-na-starej-bliskiej-pradze-ID4cHrG.html?
Mieszkanie, 41,85 m2, Warszawa;449000;Warszawa;https://www.otodom.pl/pl/oferta/mieszkanie-41-85-m-warszawa-ID4bVoM.html?
